"buffer","cases","pops","rate","urban","buffer_urban","buffer_eastern"
0.5,46,6048,7.60582010582011,"0",0,0.5
1,23,4004,5.74425574425574,"0",0,1
1.5,10,1858,5.38213132400431,"0",0,1.5
2,3,967,3.1023784901758,"0",0,2
2.5,6,705,8.51063829787234,"0",0,2.5
3,2,571,3.50262697022767,"0",0,3
3.5,1,413,2.42130750605327,"0",0,3.5
4,0,408,0,"0",0,4
4.5,1,343,2.91545189504373,"0",0,4.5
5,0,402,0,"0",0,5
5.5,1,538,1.85873605947955,"0",0,5.5
6,0,398,0,"0",0,6
6.5,0,337,0,"0",0,6.5
7,0,188,0,"0",0,7
7.5,3,393,7.63358778625954,"0",0,7.5
0.5,0,0,0,"1",0.5,0
1,0,19,0,"1",1,0
1.5,0,9,0,"1",1.5,0
2,3,545,5.5045871559633,"1",2,0
2.5,5,1283,3.89711613406079,"1",2.5,0
3,4,1649,2.42571255306246,"1",3,0
3.5,6,2072,2.8957528957529,"1",3.5,0
4,18,2491,7.22601364913689,"1",4,0
4.5,14,2216,6.31768953068592,"1",4.5,0
5,9,2433,3.69913686806412,"1",5,0
5.5,14,2735,5.11882998171846,"1",5.5,0
6,9,2008,4.48207171314741,"1",6,0
6.5,14,1855,7.54716981132075,"1",6.5,0
7,10,1942,5.14933058702369,"1",7,0
7.5,4,1469,2.72294077603812,"1",7.5,0
